wallet,tx_count,total_sent_sol,avg_tx_value,median_tx_value,max_tx_value,avg_fee,total_fee,fee_ratio,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,token_diversity,mint_count,mint_ratio,type_system_transfer,type_spl-token_transfer,type_system_createAccount,type_spl-token_closeAccount,type_spl-token_transferChecked,type_address-lookup-table_extendLookupTable,type_spl-associated-token-account_createIdempotent,type_spl-associated-token-account_create,type_unknown,type_system_advanceNonce,type_system_createAccountWithSeed,type_spl-token_burn,type_spl-token_approveChecked,type_address-lookup-table_createLookupTable,type_spl-token_approve
GeoB9oaov73FZKUzoCArJsdR5NEG9Gtky4v9HeoKohkH,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHUpToXAehyYFDJV4fPKVsem5NMCeE6VXDknZLavg77b,2,0.00018,9e-05,9e-05,9e-05,5000.0,10000,5000.0,63.0,0.0,1,0.0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6hDXVSEAt19BE19FPduJn1S5jThfva4vcSDsLhgu18ZA,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42m3ak1dZDd4L1ni2ae4G8SxLhuXgPVvBXKhUvJhm31y,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2FMpZno1ZqvDHBHeQi7sSCfvxTKWM75qXmsFFN6QKV7,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HbyJp7d4GcksuzkDVT8xrgokvEbzSThmjjhEVUmJ3cH5,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4zhqDa9thp68z8FaFJxijesoNmuDoCfCTvae6KJB8uQM,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKkGzCT6BEEuzkkf3TYkjvrpB1VcanRyagR9cWojMxmw,2,0.00018,9e-05,9e-05,9e-05,5000.0,10000,5000.0,33.0,0.0,2,0.6931471805599453,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GXLQ2SygsyXoTWXzjCTr8kWBeg9kaZhxcsms9kVYzr8i,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J9ABapPSe5qdvgP6tSX8tpQhM3zm5qqmwcN7896QvWUv,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EaCKeQFDpt8iJPbF673HhuJBVkNmSU9Kx2L7AsjSkuXb,1,0.000275945,0.000275945,0.000275945,0.000275945,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782hKGKBSuRaqkpwYdqg5gzXe6qSmjvBhiiAVYUAhTRd,2,0.014919402,0.007459701,0.007459701,0.008919402,6005001.0,12010002,6005001.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6MXDoCy8UZjRtLjq1RgsL4i53tFdqyq7u8v92iorwcmm,1,0.0261451,0.0261451,0.0261451,0.0261451,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Xm4jQj1tE793D6SJ75zR8o4vwPzLsxWCQeBh1WqeYQY,2,0.026,0.013,0.013,0.02,6005001.0,12010002,6005001.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78VrgLFvHjq1ERXRu3igUQgrC14EpVW1T2UxfasEZMbE,1,1e-06,1e-06,1e-06,1e-06,31400.0,31400,31400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGFGsE9ABY7fh2ZAfGYKXsqBAEZdpjukwQkpGif1SWgs,1,1e-06,1e-06,1e-06,1e-06,31400.0,31400,31400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6r31TyM4YCMiqJJzHAdiBT17mAEFuYXea2kUpPxFYjkA,1,1e-06,1e-06,1e-06,1e-06,31400.0,31400,31400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSRQ1oSsqVhy53eRv2uXAYa65GAkakLThQbQpDEw5WNM,1,1e-06,1e-06,1e-06,1e-06,31400.0,31400,31400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68PiGE2z3FJPdNZufvTULNiLV9q2SznKNtQZBoeKsXcM,1,1e-06,1e-06,1e-06,1e-06,31400.0,31400,31400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uab7KZ6pMyyt8KJgFsufmsXGFqivpTzGoLUirqGb1mV,2,0.000407856,0.000203928,0.000203928,0.000326285,30780.0,61560,30780.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EsBx6En1rZLj33tUBUoGczaq2uyM2UmADqz7ttWTZ5yx,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCa6fDb74koj1UxYDm6QPSUREsNfrFcmKNnJzGzSpF9X,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CQtf9NJAcCZKFUimk8yqeahiBgAwwpGNGJvVtGqaL2M3,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ES2cSoZck8d7sxawBiwyy619BJSWFfbvEe4xf7tTbeH,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGjUv37hBVQahV2rVJPwpXP4TdqFrKLXwshJmzcXHEZ,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLcEes8JYt62nJNwxcnSwZFinAqGZiB4geQHuT8pdUQv,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DdFX5aBeiAC5vRwwzLxk5LUXTVELbWbtabhnNPAh2v3C,4,3.15814735,0.7895368375,0.425498685,2.22336984,26500.0,106000,26500.0,21.0,7.788880963698615,4,1.3862943611198906,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9heYEo2HqdKgGmydcNHV7sbAss43hVapsEF1KtGexpfD,1,0.001223568,0.001223568,0.001223568,0.001223568,72676.0,72676,72676.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2GPipRZKqMSnSVBNh95TFTFpgisEzbhmmGXmEwNMQW1m,1,13.9998895,13.9998895,13.9998895,13.9998895,113502.0,113502,113502.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
