wallet,tx_count,total_fee,avg_fee,total_sent_sol,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,cluster,pca1,pca2
7K1Vc8sUkLgSfjDpiwDk2tF6JJqPzMuHcYscGGqSt2J9,2,10000,5000.0,301000,0,1,0,0,0,150500.0,0.03322259136212625,0.5,0.0,2,-0.07429087456827645,-0.8028521947430536
DyfL9o7NwK2GVxpjGi9QwwjmvYAn3WKHkGiiFkptwWf9,2,10200,5100.0,47612284,0,1,0,0,0,23806142.0,0.00021423042843313292,0.5,0.0,2,-0.07123494297958904,-0.8028678598269278
A8q6YvnyB3Gw2sUMbDq9hLsGtBknh22Ze92eyqm6Kn9r,5,31030,6206.0,48020,0,1,0,0,0,9604.0,0.64618908788005,0.2,0.0,2,-0.07543697358352836,-1.547495759139197
BLsXifsyQKbicuRUiEnvsrKa4uCtP3XqyKVQaaiuXuHL,6,30000,5000.0,4430000,0,1,0,0,0,738333.3333333334,0.006772009029345372,0.16666666666666666,0.0,2,-0.07535538925141844,-1.6330552335017146
25NTzBci2cHtVscQjXQawtUtPTp6zjvi8VSdCBLswnsq,2,10000,5000.0,30001000,0,1,0,0,0,15000500.0,0.00033332222259258026,0.5,0.0,2,-0.07237259593279054,-0.8028519125706989
3EfQvvk9Ke1qqcMyvmoUCfFg8xE7HRYTAtAArRoNvUk8,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
Cs14Lxb92SJVwsdPrgAhf79qXCWYPncY1ryadMYPw9Ed,1,5000,5000.0,2034280,0,1,0,0,0,2034280.0,0.0024578720726743616,1.0,0.0,0,-0.07230271719407028,0.41968271180333977
9hN5RcK2pTgEomHr6eqDow8BPWrntYyXkEPcfx7VPrna,1,80000,80000.0,387241000,0,1,0,0,0,387241000.0,0.00020658969478954965,1.0,0.0,0,-0.03876613566860248,0.407770861424266
76iXe9yKFDjGv3HicUVVy8AYxHLC71L1wYa12zaZzHHp,1,13040,13040.0,262944980,0,1,0,0,0,262944980.0,4.95921237971533e-05,1.0,0.0,0,-0.04965906394695785,0.41850755986319027
B6zAw4j64FWK5R3TaJ7RS8DxPdjZSYBXzQHoTiHXZfCM,1,10000,10000.0,0,1,1,0,0,EPjFWd...:148283434,0.0,10000.0,1.0,0.0,3,-0.16902923180289026,1.3941391104818404
2H2WxCJagGkcbpquFAb7LffcLERWahSNSTvbXuVh8uj9,1,5000,5000.0,3001,0,1,0,0,0,3001.0,1.6661112962345885,1.0,0.0,0,-0.07247898077706404,0.4196822820642185
G9X7F4JzLzbSGMCndiBdWNi5YzZZakmtkdwq7xS3Q3FE,4,20000,5000.0,927114390,0,1,0,0,0,231778597.5,2.1572311049988124e-05,0.25,0.0,2,-0.025631651071704092,-1.421150969184741
J8mMdXWeHS5BDMLpiLTLFXECVSLTQcNb3WaUYcPoQto2,1,10000,10000.0,35602510,0,1,0,0,0,35602510.0,0.00028087907285188603,1.0,0.0,0,-0.06938279495362025,0.41889224405310055
2CMNwkzUn4tUPcAEfuyL38k2PkjfgSrHLr2PDuJsMC1r,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
ALSgBKmxw34SXHCHcAisW1P7CR1LDvQimFqd5a2xoGiV,1,10050,10050.0,78793440,0,1,0,0,0,78793440.0,0.00012754868933251295,1.0,0.0,0,-0.06563652805038339,0.41890420407346657
6JvSA7Qgd6ZCAkJR3U9mcLF5gfp6c47hkZXAiik6TPeX,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
